GJA5-1697	hemB	delta-aminolevulinic acid dehydratase	
GJA5-2681	arcC	carbamate kinase	
GJA5-2230	SARt058	tRNA-Val	
GJA5-2044	SAR2067	hypothetical protein	
GJA5-1082	SAR1114	hypothetical protein	
GJA5-2682	arcD	arginine/ornithine antiporter	
GJA5-134	SAR0139	transporter	
GJA5-1277	SAR1315	hypothetical protein	
GJA5-2045	SAR2068	hypothetical protein	
GJA5-2683	arcB	ornithine carbamoyltransferase	
GJA5-2046	SAR2069	hypothetical protein	
GJA5-2684	arcA	arginine deiminase	
GJA5-970	SAR1000	hypothetical protein	
GJA5-135	deoC1	deoxyribose-phosphate aldolase	
GJA5-1278	SAR1316	hypothetical protein	
GJA5-2047	SAR2070	hypothetical protein	
GJA5-2685	SAR2715	arginine repressor family protein	
GJA5-582	SAR0585	phosphomethylpyrimidine kinase	
GJA5-2048	SAR2071	hypothetical protein	
GJA5-107	lldP1	L-lactate permease 1	
GJA5-2686	aur	zinc metalloproteinase aureolysin	
GJA5-773	SAR0798	hypothetical protein	
GJA5-136	drm	phosphopentomutase	
GJA5-1279	SAR1317	hypothetical protein	
GJA5-2049	SAR2072	dUTP pyrophosphatase	
GJA5-2687	isaB	immunodominant antigen B	
GJA5-2050	SAR2073	hypothetical protein	
GJA5-446	SAR0465	hypothetical protein	
GJA5-2688	SAR2718	hypothetical protein	
GJA5-137	SAR0142	binding-protein-dependent transport systems membrane component	
GJA5-1280	SAR1318	hypothetical protein	
GJA5-2051	SAR2074	hypothetical protein	
GJA5-2689	SAR2719	transcriptional regulator	
GJA5-2052	SAR2075	hypothetical protein	
GJA5-1083	SAR1115	hypothetical protein	
GJA5-2690	SAR2720	PTS transport system, IIABC component	
GJA5-138	SAR0143	binding-protein-dependent transport system membrane component	
GJA5-1281	SAR1319	hypothetical protein	
GJA5-2053	SAR2076	hypothetical protein	
GJA5-2691	pmi	mannose-6-phosphate isomerase	
GJA5-2231	SARt059	tRNA-Glu	
GJA5-873	SAR0901	hypothetical protein	Q6GIE9
GJA5-2054	SAR2077	hypothetical protein	
GJA5-2692	SAR2722	hypothetical protein	
GJA5-139	SAR0144	ABC transporter ATP-binding protein	
GJA5-1904	SARt027	tRNA-Gly	
GJA5-1282	SAR1320	hypothetical protein	
GJA5-2055	SAR2080	hypothetical protein	
GJA5-2693	SAR2723	N-acetylmuramoyl-L-alanine amidase	
GJA5-583	ung	uracil-DNA glycosylase	
GJA5-2056	SAR2083	single-strand DNA-binding protein	
GJA5-2694	SAR2724	isochorismatase	
GJA5-774	SAR0799	hypothetical protein	
GJA5-140	SAR0145	lipoprotein	
GJA5-325	SAR0338	hypothetical protein	Q6GJX7
GJA5-1283	SAR1321	hypothetical protein	
GJA5-2057	SAR2084	hypothetical protein	
GJA5-2695	sasF	surface anchored protein	
GJA5-2058	SAR2085	hypothetical protein	
GJA5-447	SAR0466	MutT domain-containing protein	
GJA5-2696	SAR2726	hypothetical protein	
GJA5-141	SAR0146	hypothetical protein	
GJA5-1284	SAR1322	hypothetical protein	
GJA5-2059	SAR2086	hypothetical protein	
GJA5-2697	SAR2727	hypothetical protein	
GJA5-2060	SAR2087	hypothetical protein	
GJA5-1084	SAR1116	hypothetical protein	
GJA5-2698	SAR2728	preprotein translocase subunit SecA	
GJA5-142	SAR0147	nucleotidase	
GJA5-1285	SAR1323	hypothetical protein	
GJA5-2061	SAR2088	hypothetical protein	
GJA5-910	clpB	ATPase of an ATP-dependent protease	
GJA5-2699	SAR2729	hypothetical protein	
GJA5-2062	SAR2089	hypothetical protein	
GJA5-2700	SAR2730	hypothetical protein	
GJA5-143	SAR0148	hypothetical protein	
GJA5-1286	SAR1324	hypothetical protein	
GJA5-2063	SAR2090	hypothetical protein	
GJA5-2701	secY	preprotein translocase subunit SecY	
GJA5-584	SAR0587	hypothetical protein	
GJA5-2064	SAR2091	hypothetical protein	
GJA5-2702	sasA	serine-rich repeat-containing protein	
GJA5-775	SAR0800	hypothetical protein	Q6GIP5
GJA5-144	SAR0149	DNA-binding protein	
GJA5-326	SAR0339	acetyltransferase	
GJA5-1287	SAR1325	hypothetical protein	
GJA5-2065	SAR2092	hypothetical protein	
GJA5-2703	SAR2735	hypothetical protein	
GJA5-2232	SARt060	tRNA-Asn	
GJA5-448	SAR0467	acetyltransferase	
GJA5-145	adhE	bifunctional acetaldehyde-CoA/alcohol dehydrogenase	
GJA5-1288	SAR1325b	hypothetical protein	
GJA5-2067	SAR2094	hypothetical protein	
GJA5-2704	SAR2738	hypothetical protein	
GJA5-2068	SAR2095	hypothetical protein	
GJA5-1085	SAR1117	recombination and DNA strand exchange inhibitor protein	
GJA5-2705	SAR2739	hypothetical protein	
GJA5-146	capA	capsular polysaccharide synthesis enzyme	
GJA5-1289	SAR1326	hypothetical protein	
GJA5-2069	SAR2096	anti repressor	
GJA5-2706	SAR2740	hypothetical protein	
GJA5-874	SAR0902	hypothetical protein	
GJA5-2070	SAR2097	hypothetical protein	
GJA5-147	capB	capsular polysaccharide synthesis enzyme	
GJA5-2707	SAR2741	methionine sulfoxide reductase A	
GJA5-1290	SAR1327	hypothetical protein	
GJA5-2071	SAR2098	hypothetical protein	
GJA5-585	SAR0588	hypothetical protein	Q6GJ86
GJA5-2708	SAR2742	acetyltransferase (GNAT) family protein	
GJA5-2072	SAR2099	DNA-binding protein	
GJA5-776	SAR0801	glycosyl transferase	
GJA5-2709	SAR2743	capsule synthesis protein	
GJA5-148	capC	capsular polysaccharide synthesis enzyme	
GJA5-327	SAR0340	lipoprotein	Q6GJX5
GJA5-1291	SAR1328	cardiolipin synthase	
GJA5-2073	SAR2100	repressor	
GJA5-2710	SAR2744	capsule synthesis protein	
GJA5-2074	SAR2101	exonuclease	
GJA5-449	SAR0468	hypothetical protein	
GJA5-149	capD	capsular polysaccharide synthesis enzyme	
GJA5-2711	SAR2745	capsule synthesis protein	
GJA5-1292	SAR1329	ABC transporter ATP-binding protein	
GJA5-2075	SAR2102	hypothetical protein	
GJA5-2233	SARr014	5S ribosomal RNA	
GJA5-2076	SAR2103	hypothetical protein	
GJA5-2712	icaR	ica operon transcriptional regulator	
GJA5-1086	trxA	thioredoxin	
GJA5-2713	icaA	N-glycosyltransferase	
GJA5-1293	SAR1330	hypothetical protein	
GJA5-2077	SAR2104	lipoprotein	
GJA5-911	SAR0939	LysR family regulatory protein	
GJA5-963	SARt014	tRNA-Ser	
GJA5-2714	icaD	intercellular adhesion protein D	
GJA5-2078	int	integrase	
GJA5-972	SAR1002	hypothetical protein	
GJA5-151	capF	capsular polysaccharide synthesis enzyme	
GJA5-2715	icaB	intercellular adhesion protein B	
GJA5-1294	SAR1331	sensor kinase	
GJA5-2079	SAR2107	leukocidin F subunit	Q6GF50
GJA5-586	SAR0589	amino acid permease	
GJA5-2716	icaC	intercellular adhesion protein C	
GJA5-777	SAR0802	hypothetical protein	
GJA5-2717	SAR2752	hypothetical protein	
GJA5-152	capG	capsular polysaccharide synthesis enzyme	
GJA5-328	SAR0341	Sec-independent exported protein	
GJA5-1295	SAR1332	response regulator	
GJA5-2081	SAR2109	succinyl-diaminopimelate desuccinylase	
GJA5-2718	lip	lipase precursor	
GJA5-2082	SAR2111	sodium transport protein	
GJA5-450	SAR0469	hypothetical protein	
GJA5-153	cap8H	capsular polysaccharide synthesis enzyme	
GJA5-2719	hisIE	bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP	
GJA5-1296	SAR1333	hypothetical protein	
GJA5-2083	SAR2113	hypothetical protein	
GJA5-2234	SARr015	23S ribosomal RNA	
GJA5-2084	SAR2114	hypothetical protein	
GJA5-2720	hisF	imidazole glycerol phosphate synthase subunit HisF	
GJA5-1087	uvrC	excinuclease ABC subunit C	
GJA5-154	cap8I	capsular polysaccharide synthesis enzyme	
GJA5-2721	hisA	1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase	
GJA5-1297	nucI	thermonuclease	
GJA5-2085	SAR2115	hypothetical protein	
GJA5-875	SAR0903	pyridine nucleotide-disulfide oxidoreductase	Q6GIE7
GJA5-2086	groEL	chaperonin GroEL	
GJA5-2722	hisH	imidazole glycerol phosphate synthase subunit HisH	
GJA5-155	cap8J	capsular polysaccharide synthesis enzyme	
GJA5-1298	SAR1335	hypothetical protein	
GJA5-2087	groES	co-chaperonin GroES	
GJA5-587	SAR0590	hypothetical protein	
GJA5-2088	SAR2118	hypothetical protein	
GJA5-13	SARs002	GJA5-13-RNA	
GJA5-2723	hisB	imidazoleglycerol-phosphate dehydratase	
GJA5-778	SAR0803	hypothetical protein	Q6GIP2
GJA5-156	cap8K	capsular polysaccharide synthesis enzyme	
GJA5-329	SAR0342	hypothetical protein	
GJA5-1299	SAR1336	hypothetical protein	
GJA5-2262	lacC	tagatose-6-phosphate kinase	
GJA5-2724	SAR2759	aminotransferase	
GJA5-2090	SAR2120	hypothetical protein	
GJA5-451	SAR0470	LysR family regulatory protein	
GJA5-2725	hisD	histidinol dehydrogenase	
GJA5-157	capL	capsular polysaccharide synthesis enzyme	
GJA5-1300	SAR1337	aspartate kinase	
GJA5-2091	SAR2121	carbon-nitrogen hydrolase	
GJA5-2235	SARr016	16S ribosomal RNA	
GJA5-2726	hisG	ATP phosphoribosyltransferase catalytic subunit	
GJA5-1088	sdhC	succinate dehydrogenase cytochrome b558	
GJA5-2093	hld	delta-hemolysin	
GJA5-158	capM	capsular polysaccharide synthesis enzyme	
GJA5-1301	SAR1338	homoserine dehydrogenase	
GJA5-2094	agrB	autoinducer processing protein	
GJA5-912	SAR0940	hypothetical protein	
GJA5-2727	hisZ	ATP phosphoribosyltransferase regulatory subunit	
GJA5-2728	SAR2763	hypothetical protein	
GJA5-973	SAR1003	hypothetical protein	
GJA5-159	capN	capsular polysaccharide synthesis enzyme	
GJA5-1905	SARt028	tRNA-Cys	
GJA5-1302	thrC	threonine synthase	
GJA5-2096	agrC	autoinducer sensor protein	
GJA5-2729	SAR2764	hypothetical protein	
GJA5-2097	agrA	autoinducer sensor protein response regulator protein	
GJA5-2730	SAR2765	ABC transporter permease	
GJA5-779	SAR0804	helicase	
GJA5-160	capO	capsular polysaccharide synthesis enzyme	
GJA5-330	SAR0343	Sec-independent protein translocase	
GJA5-1303	thrB	homoserine kinase	
GJA5-2098	SAR2127	fructokinase	
GJA5-2731	SAR2766	ABC transporter ATP-binding protein	Q6GDC0
GJA5-2391	SARs025	GJA5-2391-RNA	
GJA5-2099	scrB	sucrose-6-phosphate hydrolase	
GJA5-452	gltA	glutamate synthase	
GJA5-2732	SAR2767	hypothetical protein	Q6GDB9
GJA5-161	capP	capsular polysaccharide synthesis enzyme	
GJA5-1304	SAR1341	haloacid dehalogenase-like hydrolase	
GJA5-2100	scrR	sucrose operon repressor	
GJA5-2733	SAR2768	hypothetical protein	
GJA5-1089	sdhA	succinate dehydrogenase flavoprotein subunit	
GJA5-2101	SAR2130	ammonium transporter family protein	
GJA5-2734	SAR2769	hypothetical protein	Q6GDB7
GJA5-162	SAR0167	heme-degrading monooxygenase IsdI	
GJA5-1305	SAR1342	hypothetical protein	
GJA5-2102	SAR2131	hypothetical protein	
GJA5-2735	drp35	hypothetical protein	
GJA5-876	pepA	cytosol aminopeptidase	
GJA5-2736	SAR2771	hypothetical protein	Q6GDB5
GJA5-163	SAR0168	hypothetical protein	
GJA5-1306	SAR1343	amino acid permease	
GJA5-2103	SAR2132	hypothetical protein	
GJA5-2737	pcp	pyrrolidone-carboxylate peptidase	
GJA5-589	SAR0592	hypothetical protein	
GJA5-2738	SAR2773	hypothetical protein	
GJA5-780	SAR0805	hypothetical protein	
GJA5-164	SAR0169	aldehyde dehydrogenase	
GJA5-331	SAR0344	Sec-independent protein translocase	
GJA5-1307	SAR1344	catalase	
GJA5-2104	SAR2133	redox-sensing transcriptional repressor Rex	
GJA5-2739	cna	collagen adhesin precursor	
GJA5-453	gltD	glutamate synthase	
GJA5-2740	SAR2775	sodium:sulfate symporter family protein	
GJA5-165	SAR0170	cation efflux system protein	
GJA5-1308	rpmG	50S ribosomal protein L33	
GJA5-2105	SAR2134	ABC transporter ATP-binding protein	
GJA5-2741	SAR2776	hypothetical protein	
GJA5-1090	sdhB	succinate dehydrogenase iron-sulfur subunit	
GJA5-2742	SAR2777	hypothetical protein	
GJA5-166	SAR0171	hypothetical protein	
GJA5-1309	rpsN	30S ribosomal protein S14	
GJA5-2106	SAR2135	hypothetical protein	
GJA5-913	SAR0941	hypothetical protein	
GJA5-2743	SAR2778	nickel transport protein	
GJA5-964	SARt015	tRNA-Asn	
GJA5-2744	SAR2779	N-acetyltransferase	
GJA5-974	SAR1004	ABC transporter ATP-binding protein	
GJA5-167	SAR0172	hypothetical protein	
GJA5-1310	SAR1347	guanosine 5'-monophosphate oxidoreductase	
GJA5-2107	SAR2136	DNA-binding/iron metalloprotein/AP endonuclease	
GJA5-2745	SAR2780	hypothetical protein	
GJA5-590	SAR0593	heme peroxidase	Q6GJ81
GJA5-20	SARt001	tRNA-Glu	
GJA5-2746	vraD	ABC transporter ATP-binding protein	
GJA5-781	SAR0806	S30EA family ribosomal protein	
GJA5-168	SAR0173	ABC transporter ATP-binding protein	
GJA5-332	SAR0345	hypothetical protein	
GJA5-1311	SAR1348	hypothetical protein	
GJA5-2108	SAR2137	acetyltransferase	
GJA5-2747	vraE	ABC transporter permease	
GJA5-455	SAR0473	sugar-specific PTS transport system, IIBC component	
GJA5-2748	SAR2783	hypothetical protein	
GJA5-169	SAR0174	lipoprotein	
GJA5-1312	dinR	LexA repressor	
GJA5-2109	SAR2138	hypothetical protein	
GJA5-2749	SAR2787	hypothetical protein	
GJA5-1091	murI	glutamate racemase	
GJA5-2750	SAR2788	hypothetical protein	
GJA5-170	SAR0175	ABC transporter permease	
GJA5-1313	SAR1350	hypothetical protein	
GJA5-2264	lacA	galactose-6-phosphate isomerase subunit LacA	
GJA5-2751	SAR2789	subtilase protease	
GJA5-877	SAR0905	transporter protein	
GJA5-2752	cspB	cold shock protein	
GJA5-171	SAR0176	hypothetical protein	
GJA5-1314	SAR1351	hypothetical protein	Q6GH65
GJA5-2111	ilvD	dihydroxy-acid dehydratase	
GJA5-2753	SAR2791	hypothetical protein	
GJA5-591	eutD	phosphotransacetylase	
GJA5-2754	SAR2792	hypothetical protein	
GJA5-782	secA	preprotein translocase subunit SecA	
GJA5-172	SAR0177	hypothetical protein	
GJA5-333	SAR0346	DNA-binding protein	
GJA5-1315	SAR1352	transketolase	
GJA5-2112	ilvB	acetolactate synthase large subunit	
GJA5-2755	SAR2793	hypothetical protein	
GJA5-456	SAR0474	glycosyl hydrolase	
GJA5-2756	SAR2795	DNA-binding protein	
GJA5-173	SAR0178	formate dehydrogenase	
GJA5-1316	SAR1353	hypothetical protein	Q6GH63
GJA5-2757	gidB	16S rRNA methyltransferase GidB	
GJA5-1092	SAR1124	nucleoside-triphosphatase	Q6GHT4
GJA5-2758	gidA	tRNA uridine 5-carboxymethylaminomethyl modification protein GidA	
GJA5-174	SAR0179	transporter protein	
GJA5-1317	SAR1355	hypothetical protein	
GJA5-2114	ilvC	ketol-acid reductoisomerase	
GJA5-914	SAR0942	hypothetical protein	
GJA5-2759	trmE	tRNA modification GTPase TrmE	
GJA5-2760	rnpA	ribonuclease P	
GJA5-975	SAR1005	hypothetical protein	
GJA5-175	SAR0180	non-ribosomal peptide synthetase	
GJA5-1318	SAR1356	exonuclease	
GJA5-2115	leuA	2-isopropylmalate synthase	
GJA5-592	SAR0595	lipoate-protein ligase A protein	
GJA5-2761	rpmH	50S ribosomal protein L34	
GJA5-783	prfB	peptide chain release factor 2	
GJA5-176	SAR0181	4'-phosphopantetheinyl transferase	
GJA5-334	SAR0347	hypothetical protein	
GJA5-1319	SAR1357	exonuclease	
GJA5-2116	leuB	3-isopropylmalate dehydrogenase	
GJA5-457	SAR0475	GntR family transcriptional regulator	
GJA5-177	SAR0182	hypothetical protein	
GJA5-1320	SAR1358	insertion element protein	
GJA5-2117	leuC	isopropylmalate isomerase large subunit	
GJA5-1093	SAR1125	hypothetical protein	
GJA5-178	SAR0183	amino acid kinase	
GJA5-1321	SAR1359	transposase	
GJA5-2118	leuD	isopropylmalate isomerase small subunit	
GJA5-878	SAR0906	hypothetical protein	
GJA5-179	argJ	bifunctional ornithine acetyltransferase/N-acetylglutamate synthase	
GJA5-1322	mscL	large-conductance mechanosensitive channel	
GJA5-2152	SAR2179	hypothetical protein	
GJA5-593	mvaK1	mevalonate kinase	
GJA5-784	SAR0809	hypothetical protein	
GJA5-180	argC	N-acetyl-gamma-glutamyl-phosphate reductase	
GJA5-335	SAR0348	ABC transporter ATP-binding protein	
GJA5-1323	opuD1	glycine betaine transporter 1	
GJA5-2120	SAR2149	hypothetical protein	
GJA5-459	SAR0476	acetyltransferase (GNAT) family protein	
GJA5-181	SAR0186	ornithine aminotransferase	
GJA5-1324	citB	aconitate hydratase	
GJA5-2126	SAR2150	hypothetical protein	Q6GF11
GJA5-1094	SAR1126	hypothetical protein	
GJA5-182	SAR0187	branched-chain amino acid transport system carrier protein	
GJA5-1325	SAR1363	hypothetical protein	
GJA5-2127	SAR2151	RNA binding protein	
GJA5-915	SAR0943	hypothetical protein	
GJA5-2015	SAR2035	hypothetical protein	
GJA5-976	SAR1006	hypothetical protein	
GJA5-183	SAR0188	isochorismatase	
GJA5-1906	SARt029	tRNA-Gln	
GJA5-1326	SAR1364	hypothetical protein	Q6GH53
GJA5-2128	sigB	RNA polymerase sigma factor SigB	
GJA5-594	mvaD	mevalonate diphosphate decarboxylase	
GJA5-785	SAR0810	phosphohydrolase	
GJA5-184	SAR0189	thiamine pyrophosphate enzyme	
GJA5-336	SAR0349	hypothetical protein	
GJA5-1327	SAR1365	hypothetical protein	
GJA5-2129	rsbW	serine-protein kinase RsbW	
GJA5-361	SAR0373	hypothetical protein	
GJA5-460	dnaX	DNA polymerase III, tau subunit	
GJA5-185	glcA	glucose-specific PTS transporter protein, IIABC component	
GJA5-1328	grlB	DNA topoisomerase IV subunit B	
GJA5-2130	rsbV	anti-sigma B factor antagonist	
GJA5-1095	SAR1127	hypothetical protein	
GJA5-186	SAR0191	hypothetical protein	
GJA5-1329	grlA	DNA topoisomerase IV subunit A	
GJA5-2131	rsbU	sigma factor sigB regulation protein	
GJA5-1018	SARs008	GJA5-1018-RNA	
GJA5-879	SAR0907	hypothetical protein	
GJA5-187	murQ	N-acetylmuramic acid 6-phosphate etherase	
GJA5-1330	SAR1368	sodium:alanine symporter family protein	
GJA5-2132	SAR2156	hypothetical protein	
GJA5-595	mvaK2	phosphomevalonate kinase	
GJA5-786	SAR0811	hypothetical protein	
GJA5-188	SAR0193	sucrose-specific PTS transporter protein	Q6GKB4
GJA5-337	SAR0350	hypothetical protein	
GJA5-1331	SAR1369	transcription antiterminator	
GJA5-2133	SAR2157	hypothetical protein	
GJA5-461	SAR0478	hypothetical protein	Q6GJJ4
GJA5-189	SAR0194	transcriptional regulator	
GJA5-1332	SAR1370	hypothetical protein	
GJA5-2134	alr	alanine racemase	
GJA5-1096	SAR1129	hypothetical protein	
GJA5-190	SAR0195	hypothetical protein	
GJA5-1333	SAR1371	hypothetical protein	
GJA5-2135	acpS	4'-phosphopantetheinyl transferase	
GJA5-916	SAR0944	hypothetical protein	
GJA5-977	SAR1007	hypothetical protein	
GJA5-191	SAR0196	type I restriction enzyme	
GJA5-1334	mprF	hypothetical protein	
GJA5-2136	SAR2160	hypothetical protein	
GJA5-596	SAR0599	hypothetical protein	Q6GJ75
GJA5-21	SARt002	tRNA-Asp	
GJA5-787	uvrB	excinuclease ABC subunit B	
GJA5-2263	lacB	galactose-6-phosphate isomerase subunit LacB	
GJA5-192	SAR0197	hypothetical protein	
GJA5-338	thl	acetyl-CoA acetyltransferase	Q6GJW4
GJA5-1335	msrA1	methionine sulfoxide reductase A	
GJA5-2137	SAR2161	hypothetical protein	
GJA5-462	recR	recombination protein RecR	
GJA5-193	SAR0198	ABC transporter ATP-binding protein	
GJA5-1336	SAR1374	hypothetical protein	
GJA5-2138	SAR2162	hypothetical protein	
GJA5-1097	fib	fibrinogen-binding protein precursor	
GJA5-194	SAR0199	ABC transporter permease	
GJA5-1337	SAR1375	transposase	
GJA5-2139	kdpC	potassium-transporting ATPase subunit C	
GJA5-880	mnhG	monovalent cation/H+ antiporter subunit G	
GJA5-195	SAR0200	ABC transporter permease	
GJA5-1338	SAR1376	4-oxalocrotonate tautomerase	
GJA5-2140	kdpB	potassium-transporting ATPase subunit B	
GJA5-597	SAR0600	pyridine nucleotide-disulfide oxidoreductase	
GJA5-788	uvrA	excinuclease ABC subunit A	
GJA5-196	rlp	RGD-containing lipoprotein	
GJA5-339	SAR0352	hypothetical protein	
GJA5-1339	SAR1377	ImpB/MucB/SamB family protein	
GJA5-466	SAR0480	insertion element protein	
GJA5-978	SAR1010	hypothetical protein	
GJA5-197	SAR0202	gamma-glutamyltranspeptidase	
GJA5-1340	SAR1378	prephenate dehydrogenase	
GJA5-2142	kdpD	sensor kinase	
GJA5-2190	pyrG	CTP synthetase	
GJA5-198	acpD	azoreductase	
GJA5-1341	SAR1379	peptidase	
GJA5-2143	kdpE	response regulator protein	
GJA5-917	SAR0945	hypothetical protein	
GJA5-2154	thiM	hydroxyethylthiazole kinase	
GJA5-199	SAR0204	peptidase	
GJA5-1907	SARt030	tRNA-His	
GJA5-1344	trpE	anthranilate synthase component I	
GJA5-2144	SAR2168	helicase	
GJA5-598	SAR0601	hypothetical protein	
GJA5-2153	thiE	thiamine-phosphate pyrophosphorylase	
GJA5-789	hprK	HPr kinase/phosphorylase	
GJA5-200	SAR0205	ABC transporter ATP-binding protein	
GJA5-340	metE	5- methyltetrahydropteroyltriglutamate/homocysteine S-methyltransferase	
GJA5-1345	trpG	anthranilate synthase component II	
GJA5-2145	SAR2169	UDP-N-acetylmuramoylalanyl-D-glutamyl-2, 6-diaminopimelate-- D-alanyl-D-alanyl ligase	
GJA5-467	SAR0481	insertion element protein	
GJA5-979	SAR1011	transport system extracellular binding lipoprotein	
GJA5-201	SAR0206	extracellular sugar-binding lipoprotein	
GJA5-2146	ddl	D-alanyl-alanine synthetase A	
GJA5-1099	SAR1132	hypothetical protein	
GJA5-202	SAR0207	sugar ABC transporter permease	
GJA5-1347	trpC	indole-3-glycerol-phosphate synthase	
GJA5-2147	SAR2171	hypothetical protein	
GJA5-1078	SARs009	GJA5-1078-RNA	
GJA5-881	mnhF	monovalent cation/H+ antiporter subunit F	
GJA5-203	SAR0208	sugar ABC transporter permease	
GJA5-1348	trpF	N-(5'-phosphoribosyl)anthranilate isomerase	
GJA5-2148	SAR2173	hypothetical protein	
GJA5-599	SAR0602	hypothetical protein	
GJA5-790	lgt	prolipoprotein diacylglyceryl transferase	
GJA5-204	SAR0209	oxidoreductase	
GJA5-341	SAR0354	bifunctional homocysteine S-methyltransferase/5,10-methylenetetrahydrofolate reductase	
GJA5-1349	trpB	tryptophan synthase subunit beta	
GJA5-2149	SAR2174	hypothetical protein	
GJA5-468	SAR0482	Orn/Lys/Arg decarboxylase	
GJA5-980	SAR1012	hypothetical protein	
GJA5-205	SAR0210	oxidoreductase	
GJA5-1350	trpA	tryptophan synthase subunit alpha	
GJA5-2150	SAR2177	cardiolipin synthetase	
GJA5-1100	SAR1133	hypothetical protein	
GJA5-206	SAR0211	hypothetical protein	
GJA5-1351	femA	factor essential for expression of methicillin resistance	
GJA5-2151	SAR2178	hypothetical protein	
GJA5-918	fabH	3-oxoacyl-ACP synthase	
GJA5-207	SAR0212	hypothetical protein	
GJA5-1352	femB	methicillin resistance expression factor	
GJA5-2237	SAR2259	hypothetical protein	
GJA5-600	SAR0603	hypothetical protein	
GJA5-791	SAR0816	acetyltransferase	Q6GIM9
GJA5-208	uhpT	sugar phosphate antiporter	
GJA5-342	SAR0355	Cys/Met metabolism PLP-dependent enzyme	
GJA5-1353	SAR1391	hypothetical protein	
GJA5-209	SAR0214	response regulator	Q6GK93
GJA5-469	tmk	thymidylate kinase	
GJA5-981	SAR1013	hypothetical protein	
GJA5-1354	SAR1392	oligopeptide transporter ATPase	
GJA5-210	SAR0215	sensor kinase	Q6GK92
GJA5-1101	SAR1133a	hypothetical protein	
GJA5-1355	SAR1393	oligopeptide transporter ATPase	
GJA5-2155	thiD	phosphomethylpyrimidine kinase	
GJA5-211	SAR0216	lipoprotein	
GJA5-882	mnhE	monovalent cation/H+ antiporter subunit E	
GJA5-1356	SAR1394	oligopeptide ABC transporter permease	
GJA5-2156	tenA	transcriptional activator	
GJA5-601	SAR0604	hypothetical protein	
GJA5-212	SAR0217	formate acetyltransferase	
GJA5-344	SARs003	GJA5-344-RNA	
GJA5-792	SAR0817	hypothetical protein	
GJA5-343	SAR0356	Cys/Met metabolism PLP-dependent enzyme	
GJA5-1357	SAR1395	oligopeptide ABC transporter permease	
GJA5-2158	SAR2183b	hypothetical protein	
GJA5-213	SAR0218	pyruvate formate-lyase activating enzyme	
GJA5-470	SAR0484	hypothetical protein	
GJA5-982	SAR1014	hypothetical protein	
GJA5-1358	SAR1396	hypothetical protein	
GJA5-2159	SAR2184	hypothetical protein	
GJA5-214	SAR0219	hypothetical protein	
GJA5-1102	SAR1134	hypothetical protein	
GJA5-345	SAR0357	DNA-binding protein	
GJA5-1359	SAR1397	peptidase	
GJA5-2160	SAR2185	ssDNA-binding protein	
GJA5-919	fabF	3-oxoacyl-ACP synthase	
GJA5-215	SAR0220	hypothetical protein	
GJA5-1360	SAR1398	phosphate transporter	
GJA5-2161	SAR2186	hypothetical protein	
GJA5-602	SAR0607	hypothetical protein	
GJA5-216	SAR0221	hypothetical protein	
GJA5-793	trxB	thioredoxin reductase	
GJA5-346	SAR0358	hypothetical protein	
GJA5-1361	SAR1399	phosphate transporter ATP-binding protein	
GJA5-2162	fabZ	(3R)-hydroxymyristoyl-ACP dehydratase	
GJA5-217	SAR0222	staphylocoagulase precursor	
GJA5-471	holB	DNA polymerase III subunit delta'	
GJA5-983	SAR1015	1,4-dihydroxy-2-naphthoate octaprenyltransferase	
GJA5-1362	SAR1400	ABC transporter permease	
GJA5-2163	murA1	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	
GJA5-218	fadA	thiolase	
GJA5-1363	SAR1401	ABC transporter permease	
GJA5-2164	SAR2189	hypothetical protein	
GJA5-219	fadB	fatty oxidation complex protein	
GJA5-883	mnhD	monovalent cation/H+ antiporter subunit D	
GJA5-2165	atpC	F0F1 ATP synthase subunit epsilon	
GJA5-1364	SAR1402	phosphate-binding lipoprotein	
GJA5-1908	SARt031	tRNA-Trp	
GJA5-603	SAR0608	aldo/keto reductase	
GJA5-220	fadD	acyl-CoA dehydrogenase	
GJA5-2238	SAR2260	transport protein	
GJA5-794	SAR0820	hypothetical protein	Q6GIM6
GJA5-2166	atpD	F0F1 ATP synthase subunit beta	
GJA5-347	SAR0359	hypothetical protein	
GJA5-1365	SAR1403	hypothetical protein	
GJA5-221	fadE	acyl-CoA synthetase	
GJA5-2167	atpG	F0F1 ATP synthase subunit gamma	
GJA5-472	SAR0486	hypothetical protein	
GJA5-984	SAR1016	chorismate binding protein	
GJA5-1366	SAR1404	ABC transporter ATP-binding protein	
GJA5-222	fadX	acetyl-CoA transferase	
GJA5-1104	SAR1136a	hypothetical protein	
GJA5-2168	atpA	F0F1 ATP synthase subunit alpha	
GJA5-348	SAR0360	GTP-dependent nucleic acid-binding protein EngD	
GJA5-1368	lysC	aspartate kinase	
GJA5-920	SAR0948	hypothetical protein	
GJA5-1116	SARt016	tRNA-Arg	
GJA5-223	SAR0228	glutamine amidotransferase	
GJA5-2169	atpH	F0F1 ATP synthase subunit delta	
GJA5-1369	asd	aspartate semialdehyde dehydrogenase	
